,State,density
0,Alabama,0.9426549733203923
1,Alaska,0.9932502837089962
2,Arizona,0.9419919590554239
3,Arkansas,0.9292515198136935
4,California,0.0
5,Colorado,0.8624063742912494
6,Connecticut,0.9216330502101413
7,Delaware,0.9679436848517665
8,District of Columbia,1.0
9,Florida,0.41336781805596784
10,Georgia,0.8571134658503456
11,Hawaii,0.9189841251723047
12,Idaho,0.9396065414716257
13,Illinois,0.4858289574925449
14,Indiana,0.7874730950606967
15,Iowa,0.8192959701664462
16,Kansas,0.8593564112317095
17,Kentucky,0.816559139710107
18,Louisiana,0.8896047840592607
19,Maine,0.9927941916999328
20,Maryland,0.7137180825204287
21,Massachusetts,0.9141045044392933
22,Michigan,0.7565730528479999
23,Minnesota,0.80631527003424
24,Mississippi,0.9399238501042093
25,Missouri,0.7363040678354212
26,Montana,0.9507241060948105
27,Nebraska,0.8853199691113026
28,Nevada,0.9794231720214384
29,New Hampshire,0.9945735978198342
30,New Jersey,0.4297711222696163
31,New Mexico,0.9545984173544645
32,New York,0.35712575033677935
33,North Carolina,0.8392388768847378
34,North Dakota,0.957904719017603
35,Ohio,0.5611505378551843
36,Oklahoma,0.895256135022166
37,Oregon,0.8341464178541961
38,Pennsylvania,0.11326700174662432
39,Puerto Rico,0.7475819919868956
40,Rhode Island,0.983062164025386
41,South Carolina,0.9044090866223334
42,South Dakota,0.9421168919344516
43,Tennessee,0.9252437844152671
44,Texas,0.5039775635861373
45,Utah,0.9203195497683521
46,Vermont,0.9862632297480844
47,Virginia,0.7607637679338711
48,Washington,0.7749978336847578
49,West Virginia,0.9015267215420127
50,Wisconsin,0.8291353217961241
51,Wyoming,0.9774142930869661
