Id,State,Rank
0,Alabama,0.8837325349301398
1,Arkansas,0.9595808383233534
2,Arizona,0.8537924151696606
3,California,0.4765469061876248
4,Colorado,0.8622754491017965
5,Connecticut,0.42015968063872267
6,District of Columbia,0.780938123752495
7,Delaware,0.8637724550898205
8,Florida,0.8727544910179642
9,Georgia,0.879241516966068
10,,0.0
11,Iowa,0.9271457085828343
12,Idaho,0.9760479041916169
13,Illinois,0.8882235528942116
14,Indiana,0.8797405189620761
15,Kansas,0.8567864271457087
16,Kentucky,0.9466067864271457
17,Louisiana,1.0
18,Massachusetts,0.46706586826347307
19,Maryland,0.8183632734530938
20,Maine,0.6991017964071857
21,Michigan,0.7654690618762475
22,Minnesota,0.847305389221557
23,Missouri,0.8937125748502994
24,Mississippi,0.9191616766467067
25,Montana,0.9191616766467067
26,North Carolina,0.9041916167664672
27,North Dakota,0.9491017964071858
28,Nebraska,0.9271457085828343
29,New Hampshire,0.5449101796407186
30,New Jersey,0.6946107784431138
31,New Mexico,0.9091816367265468
32,Nevada,0.9590818363273453
33,New York,0.6327345309381238
34,Ohio,0.9036926147704591
35,Oklahoma,0.9940119760479044
36,Oregon,0.9346307385229542
37,Pennsylvania,0.8907185628742516
38,Rhode Island,0.4496007984031937
39,South Carolina,0.8807385229540918
40,South Dakota,0.8727544910179642
41,Tennessee,0.8997005988023953
42,Texas,0.9575848303393215
43,Utah,0.9620758483033933
44,Virginia,0.9176646706586827
45,Vermont,0.5598802395209582
46,Washington,0.9590818363273453
47,Wisconsin,0.8348303393213573
48,West Virginia,0.93812375249501
49,Wyoming,0.9620758483033933
