Id,State,Rank
0,Alabama,0.9421328735589934
1,Arizona,0.9021792568564116
2,Arkansas,0.9870826307301407
3,California,0.0
4,Colorado,0.947967543178508
5,Connecticut,0.9593853236722523
6,Delaware,0.9920695818381478
7,District of Columbia,0.9894661211249616
8,Florida,0.4946408797893799
9,Georgia,0.9029689675293945
10,Idaho,0.9936323474681015
11,Illinois,0.903127483999026
12,Indiana,0.9615568844391963
13,Iowa,0.9850569510620604
14,Kansas,0.9881095417725357
15,Kentucky,0.9816413806095303
16,Louisiana,0.9141874537660297
17,Maine,0.9986164269009341
18,Maryland,0.9195195802300097
19,Massachusetts,0.9645595080016357
20,Michigan,0.9070140091801712
21,Minnesota,0.8898454119820073
22,Mississippi,0.9914470026603199
23,Missouri,0.9557566749217755
24,Montana,0.9837997316706717
25,Nebraska,0.9835849303676204
26,Nevada,0.9877230142940503
27,New Hampshire,0.9943002991136862
28,New Jersey,0.9193461310494709
29,New Mexico,0.9942359735897778
30,New York,0.8003203640824653
31,North Carolina,0.805926448358091
32,North Dakota,0.9981632765584006
33,Ohio,0.9323284001782736
34,Oklahoma,0.9521245801610895
35,Oregon,0.8969809504555626
36,Pennsylvania,0.8298067247740566
37,Rhode Island,0.9904189429478549
38,South Carolina,0.7804500948801477
39,South Dakota,1.0
40,Tennessee,0.9040291900038135
41,Texas,0.6654222740910574
42,Utah,0.9444101119723584
43,Vermont,0.9996341485827709
44,Virginia,0.8259695924059124
45,Washington,0.9380108710135405
46,West Virginia,0.9922441796887563
47,Wisconsin,0.9802434491345919
48,Wyoming,0.9980082060989786
